,time,STAGE,INFLOW,RAINFALL,RUNOFF,LAK,WITHDRAWAL,EVAPORATION,STORAGE,VOLUME,SURFACE-AREA,WETTED-AREA,CONDUCTANCE
0,1.0,302.0437785,0.0,2048.465617,0.0,1542.101582,0.0,-480.8723056,0.0,4853208.372,763500.0,540000.0,13694.60149
1,32.0,301.9897271,0.0,494.2061613,0.0,1595.149389,0.0,-196.7053063,1331.233223,4811940.142,763500.0,540000.0,13694.60149
2,61.0,301.9406694,0.0,668.7206897,0.0,1596.412844,0.0,-311.9523555,1291.571175,4774484.578,763500.0,540000.0,13694.60149
3,92.0,301.9193464,0.0,1851.709161,0.0,1443.878743,0.0,-873.1646632,525.1654191,4758204.45,763500.0,540000.0,13694.60149
4,122.0,301.9214627,0.0,2333.6123,0.0,1164.648774,0.0,-1055.726856,-53.86016597,4759820.255,763500.0,540000.0,13694.60149
5,153.0,301.9772658,0.0,4385.29771,0.0,768.2161394,0.0,-2204.31955,-1374.377051,4802425.944,763500.0,540000.0,13694.60149
6,183.0,301.8683932,0.0,1131.2525,0.0,753.296892,0.0,-3070.006963,2770.808042,4719301.703,763500.0,540000.0,13694.60149
7,214.0,301.7024879,0.0,287.7656129,0.0,412.3718627,0.0,-3820.913943,4086.085631,4592633.048,763500.0,540000.0,13694.60149
8,245.0,301.6448689,0.0,1770.384097,0.0,530.7012151,0.0,-2496.501291,1419.101654,4548640.897,763500.0,540000.0,13694.60149
9,275.0,301.5857197,0.0,659.3586,0.0,568.2128652,0.0,-1412.150205,1505.346625,4503480.498,763500.0,540000.0,13694.60149
10,306.0,301.6561743,0.0,3484.466226,0.0,904.9704266,0.0,-685.9654397,-1735.228169,4557272.571,763500.0,540000.0,13694.60149
11,336.0,301.6294854,0.0,866.2162,0.0,1027.65147,0.0,-349.7190749,679.2312289,4536895.634,763500.0,540000.0,13694.60149
12,367.0,301.6156104,0.0,1238.64329,0.0,1194.249628,0.0,-213.0057804,341.7291276,4526302.032,763500.0,540000.0,13694.60149
