time,time,EAST,WEST,NORTH,SOUTH
1.0,1.0,-34797.2943602751,6201.729946805421,17407.83407862948,-9705.049622953882
32.0,32.0,-34528.20766342313,6352.743774072821,17558.69923911865,-9498.647501177547
61.0,61.0,-34224.37062292231,6289.942888998411,17471.51155616451,-9569.570300509104
92.0,92.0,-34254.56878416897,5897.994839240575,17337.25537215514,-9864.837054767782
122.0,122.0,-34741.77162737875,5348.267804943728,17189.71830915996,-10112.70046664092
153.0,153.0,-35629.80420078823,5467.9266103068,17163.31584517148,-10063.28934539088
183.0,183.0,-35268.52683262666,7999.116331895104,17606.63754568587,-9413.470715060725
214.0,214.0,-34514.91585456386,8996.953031538393,17032.91092241677,-9506.669530410312
245.0,245.0,-33959.25827074245,6957.699167004478,16860.3674604425,-9567.27198993698
275.0,275.0,-33604.56966705822,5480.533275039398,16715.13248780983,-9620.597410485752
306.0,306.0,-33403.62808673636,4785.156624202189,16639.60551477362,-9675.03929378502
336.0,336.0,-33291.75952265866,5078.318884810679,16601.59384705205,-9702.483423185267
367.0,367.0,-33182.93065572097,5171.853613081604,16581.62922050859,-9725.897381302068
