totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-574.7611,-3.699,-0.12,2913.5977,-1270.1409,0.3038,-130.74321,-3.6989746,-941.9554
3683.5,-541.5683,-1.791,-0.05,2643.4028,-1070.2463,1.939633,742.67444,-1.7912598,-1777.993
3712.5,-615.2725,0.9804,0.02,5755.666,-1256.8511,-4.742277,-1907.4666,0.98046875,-1970.3534
3743.5,-660.22,2.5182,0.05,5479.2876,-1522.0199,-3.634585,-1529.8513,2.5180664,-1761.0436
3773.5,-750.5466,-0.3514,-0.0,7585.7705,-1625.9062,-3.8209,-1686.3348,-0.3515625,-3519.5132
3804.5,-666.9034,-2.0104,-0.04,4228.14,-1329.1638,2.0827,703.61255,-2.010254,-2939.7786
3834.5,-651.93,0.9994,0.02,4278.0176,-1387.9121,-1.573,-570.1167,0.9995117,-1665.4863
3865.5,-575.6401,-4.6447,-0.11,2205.853,-888.55414,5.1578,2076.5544,-4.6445312,-2828.0156
3896.5,-473.7489,-0.4989,-0.01,842.9109,-37.5672,11.3009,4394.826,-0.49902344,-4738.2207
3926.5,-394.6851,-0.2006,-0.01,305.131,246.8559,7.806296,3148.4634,-0.2006836,-3313.7722
3957.5,-330.1579,1.6778,0.06,252.5011,213.4679,4.4925,1925.8613,1.6779785,-2064.487
3987.5,-305.3906,0.6162,0.02,865.8444,217.8722,4.5933,1992.9155,0.61621094,-2775.2185
4018.5,-294.76138,1.074,0.04,1474.4629,199.29681,1.5603999,738.99713,1.0739746,-2118.4817
4049.5,-390.17508,-1.0869,-0.03,3735.8535,169.80261,-4.2782617,-1639.2979,-1.0869141,-1872.9918
4077.5,-423.9836,3.1359,0.06,4463.223,40.270493,-0.36540008,-203.64935,3.1357422,-3872.3591
4108.5,-409.17752,-5.0501,-0.08,3977.052,256.4204,4.0855002,1582.6505,-5.050293,-5416.081
4138.5,-430.2541,2.2016,0.04,4351.9785,198.805,-1.6086999,-555.83215,2.2016602,-3560.887
4169.5,-440.9385,-0.4931,-0.01,4596.7056,223.0265,-0.24230003,-243.63477,-0.49267578,-4135.409
4199.5,-347.296,-0.7322,-0.01,3439.626,223.8211,8.059501,3233.928,-0.7319336,-6558.8706
4230.5,-169.05911,1.8539,0.03,1677.4618,211.25809,10.981299,4677.0576,1.8540039,-6405.845
4261.5,12.370804,-0.9897,-0.02,1211.994,226.04651,11.2868,4843.1587,-0.9897461,-6305.8467
4291.5,121.614105,-2.7668,-0.05,384.0033,221.95709,10.9868,4842.072,-2.7670898,-5583.3994
4322.5,197.6927,-3.9517,-0.09,213.1879,221.5291,7.3893003,3359.6238,-3.9521484,-4003.3745
4352.5,186.8294,-2.0753,-0.08,963.8809,220.4382,0.60800004,571.7642,-2.0754395,-1945.596
4383.5,121.752205,2.1218,0.06,2531.6978,215.8047,-0.9033,-226.20743,2.1218262,-2640.0222
