,time,total_in,total_out,sources,sinks,fluid_storage,total_mass,error_in-out,error_alt
0,14.739,14739.0,-14390.0,14739.0,-2.7675e-14,0.0,14390.0,2.4,2.4
1,29.479,29479.0,-28643.0,29479.0,-1.20443e-12,0.0,28643.0,2.88,2.88
2,44.218,44218.0,-42832.0,44218.0,-2.56483e-11,0.0,42832.0,3.18,3.18
3,58.958,58958.0,-56985.0,58958.0,-3.58865e-10,0.0,56985.0,3.4,3.4
4,73.697,73697.0,-71083.0,73697.0,-3.72734e-09,0.0,71083.0,3.61,3.61
5,88.436,88436.0,-85231.0,88436.0,-3.03877e-08,0.0,85231.0,3.69,3.69
6,103.18,103178.0,-99238.0,103176.0,-2.0441e-07,0.0,99235.0,3.89,3.89
7,117.92,117917.0,-113471.0,117915.0,-1.1638e-06,0.0,113469.0,3.84,3.84
8,132.65,132700.0,-127358.0,132655.0,-5.68009e-06,0.0,127313.0,4.11,4.11
9,147.39,147439.0,-141821.0,147394.0,-2.51126e-05,0.0,141775.0,3.88,3.89
10,162.13,162323.0,-158180.0,162134.0,-9.74859e-05,0.0,157990.0,2.59,2.59
11,176.87,177465.0,-175191.0,176873.0,-0.000343251,0.0,174599.0,1.29,1.29
12,191.61,192608.0,-191212.0,191612.0,-0.00110672,0.0,190216.0,0.728,0.732
13,206.35,207360.0,-207201.0,206352.0,-0.00327886,0.0,206192.0,0.07708,0.07749
14,221.09,223230.0,-221623.0,221091.0,-0.0090528,0.0,219484.0,0.723,0.73
15,235.83,238023.0,-236588.0,235831.0,-0.0232546,0.0,234395.0,0.605,0.611
16,250.57,253864.0,-249892.0,250570.0,-0.056031,0.0,246598.0,1.58,1.6
17,265.31,270141.0,-262481.0,265309.0,-0.1274,0.0,257649.0,2.88,2.93
18,280.05,284933.0,-276990.0,280049.0,-0.27511,0.0,272106.0,2.83,2.88
19,294.79,299866.0,-291440.0,294788.0,-0.568,0.0,286362.0,2.85,2.9
20,309.53,315086.0,-306112.0,309528.0,-1.1161,0.0,300553.0,2.89,2.94
21,324.27,330062.0,-320282.0,324267.0,-2.1032,0.0,314485.0,3.01,3.06
22,339.01,344986.0,-334677.0,339006.0,-3.7875,0.0,328693.0,3.03,3.09
23,353.75,359980.0,-348964.0,353746.0,-6.5992,0.0,342723.0,3.11,3.16
24,365.0,374603.0,-363460.0,365000.0,-9.6642,0.0,353847.0,3.02,3.1
